Name,Ingredients,Total_Protein,Total_Fat,Total_Carbs,Total_Calories,Estimated_Cost
Marinated Flank Steak Recipe,"['1 1/2 pound flank steak', '1/2 c. finely minced green onions (scallions)', '1/2 c. dry red wine', '1/4 c. soy sauce', '3 tbsp. salad oil', '3 teaspoon sesame seeds', '2 teaspoon packed brown sugar', '1/4 teaspoon grnd black pepper', '1/4 teaspoon grnd ginger', '1 clove garlic, chopped']",15.04,113.65,248.2,2087.0,22.75
French Chicken Stew,"['1 tablespoon rosemary', '1 teaspoon thyme', '3 bay leaves', '1 teaspoon smoked paprika', '1 teaspoon pepper', '1/4 cup red wine', '3 cups chicken broth', '2 cups button mushrooms sliced', '2 cups mushroom mix, oyster, shiitake, baby bella, sliced', '2 medium carrots sliced diagonally', '1 onion medium, chopped', '1 red potato medium, cut in 1-inch pieces', '1 cup frozen green beans 1-inch pieces', '1/2 can black olives pitted ripe, halved', '1 handful grape tomatoes halved', '8 chicken thighs with bones and skin. 2-3 lbs', '2 stalks celery', '3 cups water']",57.64,4.36,157.08,1047.0,38.3
Glazed Carrots,"['3 to 4 carrots', '1 1/2 Tbsp. butter', '1/3 c. brown sugar', 'grated lemon rind and juice']",2.46,0.0,111.32,425.0,6.75
Moms Pie Dough ,"['4.5 Cups Flour', '1.5 Tsp Salt', 'Pinch Baking Powder', '1 Tbls Sugar', '1 2/3 cup Crisco', '1 egg lightly beaten', '1 tsp vinegar', 'Ice Water']",13.08,28.8,239.43,1284.0,12.05
Pretzel Salad Or Dessert,"['2 c. crushed small thin pretzels (sticks)', '3/4 c. margarine']",0.0,78.6,0.0,714.0,2.0
Citrus Syrup,"['3/4 cup sugar', '1/2 cup fresh orange juice', '1/2 cup fresh lemon juice']",4.76,0.0,190.5,756.0,7.25
Cranberry And Candied Orange Chutney ,"['1 large navel orange with skin', '7 cups water, divided', '1/2 cup sugar', '2 cinnamon sticks, divided', '1/4 cup (packed) golden brown sugar', '1 tablespoon dark rum', '2 teaspoons apple cider vinegar', '1/8 teaspoon ground allspice', '1/2 cup fresh or frozen cranberries']",4.76,0.0,384.73,1494.0,12.05
Tau Kua He Ci Medan'S Favourite Food ,"['1 slices Gravy ingredients (A) - onion', '3 cloves Gravy ingredients (A) - cloves garlic', '300 grams Gravy ingredients (A) - very ripe tomatoes (chopped)', '300 grams Gravy ingredients (A) - pineappled (chopped)', '6 tablespoons Gravy ingredients (A) - tomato sauce ( i use Del Monte)', '3 tablespoons Gravy ingredients (A) - sugar ( to taste)', '1 tablespoon Gravy ingredients (A) - salt & pepper', '3 liters Gravy ingredients (A) - water', '200 grams Gravy ingredients (B) - pineappled (chopped)', '3 tablespoons Gravy ingredients (B) - corn starch to dissolve in water']",13.42,0.78,291.07,1303.0,10.1
Jamaica Barbecue Sauce,"['1 1/2 c. cider vinegar', '4 tsp. lemon juice', '3 tsp. Worcestershire sauce', '2 tsp. brown sugar', '1 Tbsp. prepared mustard', '3/4 tsp. salt', '1/2 tsp. meat tenderizer', '1 c. tomato catsup', '1 Tbsp. liquid smoke', '1 tsp. garlic powder', '1 tsp. cayenne pepper', '1/2 tomato puree']",4.25,3.38,225.4,1042.0,15.5
Dill Dip,"['2/3 c. sour cream', ""2/3 c. Hellmann's mayo"", '1 Tbsp. parsley flakes', '1 Tbsp. dried onion flakes', '1 Tbsp. Worcestershire sauce', '1 tsp. Accent', '1 tsp. season salt', '1 tsp. dill weed']",10.9,18.68,85.71,580.0,7.25
