Soy Sauce (16 oz),$2.00 - $3.00
Green Onions (1 bunch),$0.50 - $1.00
Salad Oil (16 oz),$2.50 - $3.50
Brown Sugar (1 lb),$1.00 - $2.00
Clove Garlic (1 bulb),$0.50 - $1.00
Red Wine (750 ml),$8.00 - $12.00
Pepper (4 oz),$3.00 - $4.00
Onion (1 medium),$0.50 - $1.00
Water (1 gallon),$0.00 - $0.10
Rosemary (0.5 oz dried),$2.00 - $3.00
Thyme (0.5 oz dried),$2.00 - $3.00
Chicken Broth (32 oz),$1.50 - $2.50
Carrots (1 lb),$1.00 - $1.50
Paprika (4 oz),$3.00 - $4.00
Chicken (1 lb),$4.00 - $6.00
Butter (1 lb),$3.00 - $5.00
Egg (1 dozen),$2.00 - $4.00
Baking Powder (8 oz),$1.50 - $2.50
Sugar (1 lb),$1.00 - $1.50
Vinegar (16 oz),$1.00 - $2.00
Flour (5 lb),$2.00 - $3.50
Salt (26 oz),$1.00 - $2.00
Margarine (1 lb),$1.50 - $2.50
Orange Juice (64 oz),$3.00 - $4.00
Lemon Juice (15 oz),$2.00 - $3.00
Cranberries (12 oz),$3.00 - $5.00
Garlic (1 bulb),$0.50 - $1.00
Cayenne Pepper (1 oz),$1.50 - $2.50
Cider Vinegar (16 oz),$1.50 - $2.50
Mustard (8 oz),$1.50 - $2.00
Worcestershire Sauce (10 oz),$2.00 - $3.00
Sour Cream (16 oz),$2.00 - $3.00
Canola Oil (16 oz),$2.50 - $3.50
Honey (12 oz),$4.00 - $6.00
Bread (1 loaf),$2.00 - $4.00
Cheese (1 lb),$4.00 - $6.00
Ground Beef (1 lb),$5.00 - $7.00
Ketchup (20 oz),$2.00 - $3.00
Pie Shell (1 shell),$2.00 - $4.00
Milk (1 gallon),$3.00 - $4.00
Strawberries (1 lb),$3.00 - $5.00
Green Pepper (1),$0.75 - $1.25
Active Dry Yeast (4 oz),$3.00 - $4.00
Raisins (1 lb),$3.00 - $5.00
Egg Whites (carton),$3.00 - $5.00
Egg Yolks (6 oz),$1.50 - $2.50
Bananas (1 lb),$0.60 - $1.00
Syrup (12 oz),$2.00 - $4.00
Peaches (1 lb),$2.00 - $3.00
Pecans (1 lb),$10.00 - $15.00
Cream Cheese (8 oz),$2.50 - $4.00
Vanilla Extract (1 oz),$2.50 - $4.50
Unsalted Butter (1 lb),$3.00 - $5.00
Bacon (1 lb),$5.00 - $7.00
Baking Soda (16 oz),$1.00 - $1.50
Eggs (1 dozen),$2.00 - $4.00
White Sugar (1 lb),$1.00 - $1.50
Lard (1 lb),$2.00 - $3.00
Tomatoes (1 lb),$2.00 - $3.00
Balsamic Vinegar (16 oz),$4.00 - $6.00
Capers (4 oz),$3.00 - $5.00
Olive Oil (16 oz),$5.00 - $8.00
Red Pepper (1),$0.75 - $1.25
Orange (1),$1.00 - $1.50
Green Bell Pepper (1),$0.75 - $1.25
Cocoa (8 oz),$2.50 - $4.00
Parmesan Cheese (8 oz),$4.00 - $6.00
Feta Cheese (8 oz),$3.00 - $5.00
Rice (1 lb),$1.00 - $2.00
Steak Sauce (10 oz),$3.00 - $5.00
Cinnamon (1 oz),$2.00 - $3.00
Nuts (1 lb),$8.00 - $12.00
Velveeta Cheese (16 oz),$5.00 - $6.50
Tomato Paste (6 oz),$1.00 - $1.50
Bay Leaf (0.5 oz),$2.00 - $3.00
Lemon Pepper (3 oz),$2.00 - $3.50
Tomato Sauce (15 oz),$1.00 - $1.50
Shortening (16 oz),$3.00 - $4.00
Pizza Sauce (14 oz),$2.00 - $3.00
Mozzarella Cheese (1 lb),$4.00 - $5.00
Warm Water (1 cup),Free
Whole Wheat Flour (5 lb),$3.00 - $4.00
Dates (1 lb),$4.00 - $6.00
Ground Cinnamon (1 oz),$2.00 - $3.00
Green Beans (1 lb),$1.50 - $3.00
Onions (1 lb),$1.00 - $1.50
Coarse Salt (16 oz),$2.00 - $3.00
Ground Cumin (1 oz),$2.00 - $3.00
Cilantro (1 bunch),$1.00 - $1.50
Fish Sauce (8 oz),$3.00 - $5.00
Lime Juice (15 oz),$2.00 - $3.50
Maple Syrup (8 oz),$4.00 - $6.00
Shrimp (1 lb),$10.00 - $15.00
Cornmeal (1 lb),$1.50 - $2.50
Buttermilk (1 quart),$2.00 - $3.00
Scallions (1 bunch),$0.50 - $1.00
Vegetable Oil (16 oz),$2.00 - $3.00
Ginger (1 oz),$0.50 - $1.00
White Wine (750 ml),$8.00 - $12.00
Red Bell Pepper (1 Pepper),$1.00 - $1.50
Yeast (1/4oz Packet),$0.50 - $1.00
Potatoes (1 lb),$0.70 - $1.00
Noodles (12 oz),$1.00 - $2.00
Walnuts (1 lb),$6.00 - $8.00
Basil (1 bunch),$2.00 - $3.00
Sage (1 bunch),$1.50 - $2.00
Mushrooms (8 oz),$2.00 - $3.00
