,Protein,Fat,Carbohydrates,Calories
cornmeal,7.32,2.44,78.0,366.0
mushrooms,0.88,0.0,1.76,7.0
feta cheese,17.9,21.4,3.57,286.0
worcestershire sauce,0.0,0.0,19.17,77.0
buttermilk,3.46,1.08,4.81,43.0
onions,0.86,0.08,8.46,38.0
green onion,1.83,0.19,7.34,32.0
shrimp,11.8,0.0,0.0,47.0
egg whites,10.9,0.0,0.0,54.0
brown sugar,0.0,0.0,100.0,375.0
baking soda,0.0,0.0,0.0,0.0
egg yolks,33.6,59.1,0.66,669.0
butter,1.18,0.0,2.35,12.0
lard,0.0,100.0,0.0,902.0
sage,0.0,0.0,0.0,0.0
eggs,12.0,10.0,0.0,140.0
baking powder,0.0,0.0,0.0,0.0
balsamic vinegar,0.0,0.0,73.3,300.0
rosemary,0.0,0.0,0.0,0.0
flour,6.67,0.0,70.0,333.0
capers,0.0,0.0,6.67,27.0
soy sauce,8.14,0.57,4.93,53.0
thyme,0.0,0.0,0.0,0.0
scallions,1.83,0.19,7.34,32.0
red wine,0.07,0.0,2.61,85.0
cinnamon,0.0,0.0,0.0,0.0
bread,10.7,5.36,66.1,357.0
chicken,21.4,1.79,0.0,107.0
pepper,0.0,0.0,66.7,333.0
maple syrup,0.0,0.0,86.7,333.0
green onions,3.33,0.0,6.67,0.0
garlic,0.0,0.0,33.3,167.0
parmesan cheese,40.0,30.0,0.0,400.0
onion,10.9,0.78,59.4,289.0
vanilla,3.5,16.2,22.29,249.0
strawberries,0.71,0.0,9.29,36.0
olive oil,0.0,100.0,0.0,900.0
ground cumin,0.0,0.0,50.0,500.0
lemon juice,0.0,0.0,0.0,0.0
fish sauce,5.06,0.01,3.64,35.0
cream cheese,7.14,32.1,7.14,321.0
water,0.0,0.0,10.8,42.0
honey,0.3,0.0,82.4,304.0
ketchup,1.08,0.32,27.1,109.0
potatoes,2.03,0.0,17.6,74.0
cranberries,0.0,0.0,82.5,300.0
ground beef,15.2,26.8,0.0,312.0
rice,3.47,2.43,26.4,139.0
cayenne pepper,0.0,0.0,100.0,0.0
whole wheat flour,13.3,3.33,70.0,367.0
mozzarella cheese,25.0,21.4,3.57,321.0
warm water,0.0,0.0,0.0,0.0
pecans,10.0,73.3,13.3,700.0
raisins,3.3,0.25,79.32,299.0
vinegar,0.0,0.0,0.93,21.0
yeast,40.44,7.61,41.22,325.0
sugar,0.0,0.0,100.0,375.0
ground cinnamon,0.0,0.0,125.0,0.0
coarse salt,11.7,1.6,73.8,0.0
green beans,0.83,0.0,3.33,17.0
chicken broth,0.42,0.21,0.83,6.0
green pepper,0.74,2.76,4.83,47.0
unsalted butter,0.0,78.6,0.0,714.0
bay leaf,0.0,0.0,0.0,0.0
bacon,7.14,50.0,0.0,500.0
cilantro,0.0,0.0,0.0,0.0
cider vinegar,0.0,0.0,0.93,21.0
vegetable oil,0.0,100.0,0.0,857.0
pizza sauce,1.64,0.82,9.84,57.0
clove garlic,5.97,13.0,65.5,274.0
active dry yeast,0.0,0.0,0.0,0.0
dates,2.5,0.0,75.0,300.0
steak sauce,1.25,0.23,22.04,95.0
basil,0.0,0.0,0.0,0.0
orange,4.76,0.0,90.5,381.0
noodles,11.1,1.85,77.8,370.0
walnuts,14.3,64.3,14.3,643.0
tomato sauce,1.64,0.0,6.56,33.0
white sugar,0.0,0.32,99.6,401.0
pie shell,6.5,28.59,56.24,508.0
bananas,3.89,1.81,88.3,346.0
paprika,0.0,0.0,0.0,0.0
carrots,1.28,0.0,8.97,38.0
green bell pepper,0.715,0.106,4.78,0.0
egg,6.41,28.8,57.7,513.0
tomatoes,0.88,0.0,3.51,22.0
salad oil,0.0,100.0,0.0,929.0
milk,3.75,3.33,5.42,67.0
mustard,4.25,3.38,5.3,69.0
red pepper,3.57,32.1,5.36,321.0
lemon pepper,0.0,0.0,0.0,0.0
salt,0.0,0.0,0.0,0.0
canola oil,0.0,100.0,0.0,900.0
shortening,0.0,100.0,0.0,909.0
syrup,0.0,0.0,83.3,333.0
peaches,0.0,0.0,9.29,36.0
ginger,0.0,0.0,0.0,0.0
margarine,0.0,78.6,0.0,714.0
bottles,1.98,1.38,12.6,71.0
center,18.7,9.62,0.84,167.0
cheese,21.1,24.6,2.46,331.0
tomato paste,3.03,0.0,21.2,91.0
white wine,0.07,0.0,2.6,82.0
cocoa,20.0,10.0,60.0,200.0
nuts,20.0,26.7,30.0,400.0
lime juice,0.0,0.0,6.67,0.0
orange juice,0.83,0.0,10.8,46.0
velveeta cheese,16.3,22.0,9.8,303.0
red bell pepper,0.896,0.126,6.65,0.0
sour cream,0.0,17.9,7.14,214.0
