Ingredient                Cost per Unit ($)
Salt                      0.50 (per pound)
Sugar                     0.70 (per pound)
Butter                    3.00 (per pound)
Water                     0.00 (free)
Onion                     0.80 (per onion)
Flour                     0.50 (per pound)
Eggs                      2.50 (per dozen)
Milk                      3.50 (per gallon)
Pepper                    0.10 (per tsp)
Garlic                    0.50 (per bulb)
Baking Powder             1.20 (per container)
Olive Oil                 8.00 (per liter)
Egg (Single)              0.21 (per egg)
Cinnamon                  0.20 (per tsp)
All-Purpose Flour         0.50 (per pound)
Lemon Juice               0.50 (per lemon)
Brown Sugar               0.80 (per pound)
Tomatoes                  1.00 (per pound)
Baking Soda               0.75 (per box)
Margarine                 1.50 (per pound)
Garlic Cloves              0.10 (per clove)
Nutmeg                    0.15 (per tsp)
Vanilla                   3.00 (per ounce)
Celery                    1.50 (per bunch)
Parsley                   1.00 (per bunch)
Onions                    0.80 (per onion)
Black Pepper              0.10 (per tsp)
Soy Sauce                 2.00 (per bottle)
Parmesan Cheese           5.00 (per block)
Cornstarch                0.75 (per box)
Sour Cream                2.50 (per pint)
Ginger                    2.00 (per root)
Potatoes                  0.60 (per pound)
Vanilla Extract           3.00 (per ounce)
Paprika                   0.20 (per tsp)
Cumin                     0.15 (per tsp)
Fresh Parsley             1.00 (per bunch)
Chicken                   5.00 (per pound)
Bacon                     6.00 (per pound)
Granulated Sugar          0.70 (per pound)
Green Pepper              1.00 (each)
Worcestershire Sauce      3.00 (per bottle)
Carrot                    0.30 (each)
Unsalted Butter           3.00 (per pound)
Mayonnaise                3.50 (per jar)
Raisins                   3.00 (per pound)
Lemon                     0.50 (each)
Honey                     5.00 (per jar)
Cream Cheese              2.50 (per block)
Carrots                   0.30 (each)
Chili Powder              0.30 (per tsp)
Oregano                   0.15 (per tsp)
Buttermilk                2.00 (per quart)
Garlic Clove              0.10 (per clove)
Heavy Cream               3.00 (per pint)
Cheddar Cheese            5.00 (per block)
Garlic Powder             0.20 (per tsp)
Green Onions              0.50 (per bunch)
Chicken Broth             2.50 (per quart)
Curry Powder              1.00 (per jar)
Vinegar                   1.00 (per bottle)
Zucchini                  1.00 (each)
Walnuts                   4.00 (per pound)
Lime Juice                0.50 (per lime)
Shortening                2.00 (per pound)
Cayenne Pepper            0.20 (per tsp)
Beef                      5.00 (per pound)
Tomato Sauce              1.00 (per can)
Green Onion               0.50 (per bunch)
Tomato Paste              1.00 (per can)
Clove                     0.15 (per tsp)
Rind of                   0.20 (per item)
Mozzarella Cheese         4.00 (per block)
Powdered Sugar            2.00 (per pound)
Fresh Lemon Juice         0.50 (per lemon)
White Pepper              0.15 (per tsp)
Pecans                    6.00 (per pound)
Whole Wheat Flour         0.50 (per pound)
Rice                      1.00 (per pound)
Cornmeal                  0.70 (per pound)
Bay Leaf                  0.10 (per leaf)
Fresh Ginger              2.00 (per root)
Brandy                    10.00 (per bottle)
Dry Mustard               1.00 (per jar)
Allspice                  1.00 (per jar)
Monterey Jack Cheese      5.00 (per block)
Coconut                   2.00 (per bag)
Boiling Water             0.00 (free)
Fresh Dill                1.50 (per bunch)
Extra Virgin Olive Oil    12.00 (per liter)
Dry White Wine            7.00 (per bottle)
Basil                     1.00 (per bunch)
Cucumber                  0.80 (each)
Apples                    1.50 (per pound)
Red Bell Pepper           1.50 (each)
Lemons                    0.50 (each)
Mushrooms                 1.00 (per pound)
Skim Milk                 3.00 (per gallon)
Dried Oregano             0.50 (per jar)
Red Wine Vinegar          3.00 (per bottle)
Confectioners' Sugar      2.00 (per pound)
Sherry Wine               7.00 (per bottle)
Cheese                    5.00 (per block)
Fresh Cilantro            1.50 (per bunch)
Cilantro                  1.00 (per bunch)
White Wine                5.00 (per bottle)
Cider Vinegar             2.00 (per bottle)
Dry Sherry                7.00 (per bottle)
Fresh Basil               1.50 (per bunch)
Feta Cheese               4.00 (per block)
Light Brown Sugar         0.80 (per pound)
Evaporated Milk           2.00 (per can)
Canola Oil                3.00 (per quart)
Sesame Seeds              2.00 (per pound)
Sweet Potatoes            2.00 (per pound)
Plain Yogurt              2.50 (per pint)
Boneless Skinless Chicken Breast Halves 5.00 (per pound)
Swiss Cheese              4.00 (per block)
Thyme                     1.50 (per bunch)
Scallions                 0.50 (per bunch)
Sharp Cheddar Cheese     5.00 (per block)
Orange                    1.00 (each)
Green Bell Pepper         1.00 (each)
Ketchup                   3.00 (per bottle)
Chives                    1.00 (per bunch)
Shrimp                    6.00 (per pound)
Turmeric                  1.00 (per jar)
Chicken Breasts           5.00 (per pound)
Chicken Breast            5.00 (per pound)
Dijon Mustard             2.00 (per jar)
Potato                    0.60 (per pound)
Red Onion                 1.00 (per onion)
Ham                       5.00 (per pound)
Yellow Cornmeal          0.80 (per pound)
Zest of                   0.20 (per item)
Fresh Mushrooms           1.00 (per pound)
Instant Coffee            3.00 (per jar)
Pineapple                 2.00 (per fruit)
Dark Brown Sugar          0.80 (per pound)
Apple                     1.50 (per pound)
Half-and-Half             2.00 (per pint)
Gingerroot                2.00 (per root)
Cloves                    1.00 (per jar)
Fresh Thyme               1.50 (per bunch)
Rolled Oats               2.00 (per pound)
Boneless Skinless Chicken Breasts 5.00 (per pound)
Self Raising Flour        0.50 (per pound)
Dried Basil               0.50 (per jar)
Kosher Salt               1.00 (per pound)
Lime                      0.50 (per lime)
Cornflour                 0.75 (per pound)
Dried Thyme               0.50 (per jar)
Mace                      1.00 (per jar)
Rice Vinegar              2.00 (per bottle)
Red Pepper Flakes         1.00 (per jar)
Cake Flour                1.50 (per pound)
Tabasco Sauce             3.00 (per bottle)
Caster Sugar              2.00 (per pound)
Rosemary                  2.00 (per bunch)
Ground Beef               5.00 (per pound)
Corn                      1.00 (per ear)
Lettuce                   1.50 (per head)
Cucumbers                 0.80 (each)
Boneless Skinless Chicken Breast 5.00 (per pound)
Currants                  3.00 (per pound)
Plum Tomatoes             2.00 (per pound)
Frozen Spinach            2.00 (per bag)
Bananas                   0.60 (per bunch)
Beef Broth                3.00 (per quart)
Prepared Mustard          1.50 (per bottle)
Light Corn Syrup          3.00 (per bottle)
Cayenne                   0.30 (per tsp)
Baking Potatoes           0.60 (per pound)
Sage                      1.00 (per bunch)
Oranges                   1.00 (each)
Shallots                  1.50 (per bunch)
Active Dry Yeast          1.50 (per packet)
Coconut Milk              2.00 (per can)
Seasoning Salt            1.00 (per bottle)
Green Chilies             1.00 (per bunch)
Fresh Lime Juice          0.50 (per lime)
Dry Red Wine              7.00 (per bottle)
Fresh Mint                1.00 (per bunch)
Black Olives              3.00 (per jar)
Turkey                    5.00 (per pound)
Lean Beef                 6.00 (per pound)
Corn Tortillas            2.00 (per pack)
Pumpkin                   1.50 (per pound)
Peppercorns               1.50 (per jar)
Cumin Seed                0.15 (per tsp)
Long-Grain Rice           1.00 (per pound)
Cabbage                   1.50 (per head)
Pecan Halves              5.00 (per pound)
White Sugar               0.70 (per pound)
Black Beans               1.00 (per can)
Scallion                  0.50 (per bunch)
Flour Tortillas           2.00 (per pack)
Marjoram                  2.00 (per jar)
Blueberries               4.00 (per pound)
Plain Flour               0.50 (per pound)
Golden Syrup              5.00 (per bottle)
Parsley Flakes            1.00 (per jar)
Lemon Pepper              1.00 (per jar)
Low Sodium Chicken Broth  2.50 (per quart)
Red Onions                0.80 (per onion)
Egg Substitute            4.00 (per jar)
Chocolate Chips           3.00 (per bag)
Peanuts                   2.50 (per pound)
Light Soy Sauce           2.50 (per bottle)
Bean Sprouts              2.00 (per bag)
Mint                      1.50 (per bunch)
Phyllo Dough              3.00 (per pack)
Celery Seed               1.00 (per jar)
Tarragon                  2.00 (per bunch)
Acorn Squash              2.00 (each)
Ripe Olives               3.00 (per jar)
Molasses                  3.00 (per bottle)
Strawberry                3.00 (per pound)
Icing Sugar               2.00 (per pound)
Vegetable Shortening      2.50 (per pound)
Fresh Rosemary            1.50 (per bunch)
Green Peppers             1.00 (each)
Catsup                    2.00 (per bottle)
Onion Powder              1.00 (per jar)
Cinnamon Stick            1.00 (per stick)
Applesauce                2.00 (per jar)
Dried Thyme Leaves        1.50 (per jar)
Brewed Coffee             5.00 (per pound)
Real Vanilla              5.00 (per ounce)
Marshmallows              2.00 (per bag)
Romano Cheese             5.00 (per block)
Garam Masala              2.00 (per jar)
Cinnamon Sticks           1.00 (per stick)
Beets                     2.00 (per bunch)
Cracked Black Pepper      1.00 (per jar)
Broccoli                  2.00 (per bunch)
Spaghetti                 1.00 (per box)
Fresh Chives              1.00 (per bunch)
Short-Grain Rice          1.00 (per pound)
Ginger Ale                2.00 (per bottle)
Velveeta Cheese           5.00 (per block)
Canned Tomatoes           1.00 (per can)
Pimientos                 1.50 (per jar)
Miniature Marshmallows    2.00 (per bag)
Green Beans               2.00 (per pound)
White Vinegar             1.50 (per bottle)
Avocado                   1.50 (each)
Nam Pla                   2.50 (per bottle)
