Ingredient,Count,Price/unit
salt, 568, 0.09/unit
sugar, 446, 0.56/unit
butter, 411, 0.72/unit
flour, 261, 0.24/unit
eggs, 254, 0.15/unit
water, 251, 0.00/unit
onion, 210, 0.50/unit
milk, 200, 0.70/unit
baking powder, 153, 0.50/unit
pepper, 146, 0.34/unit
garlic, 135, 0.75/unit
margarine, 133, 0.30/unit
cinnamon, 127, 1.25/unit
olive oil, 124, 0.45/unit
egg, 123, 0.15/unit
all-purpose flour, 122, 0.25/unit
brown sugar, 116, 0.55/unit
vanilla, 114, 2.00/unit
lemon juice, 103, 0.50/unit
baking soda, 102, 0.50/unit
tomatoes, 79, 1.00/unit
nutmeg, 73, 1.50/unit
vanilla extract, 71, 3.00/unit
garlic cloves, 67, 0.80/unit
cornstarch, 63, 0.40/unit
celery, 61, 1.00/unit
parsley, 61, 0.85/unit
onions, 59, 0.50/unit
sour cream, 59, 1.25/unit
black pepper, 55, 0.20/unit
granulated sugar, 51, 0.56/unit
soy sauce, 51, 0.65/unit
parmesan cheese, 50, 1.50/unit
cream cheese, 47, 1.20/unit
ginger, 45, 0.80/unit
raisins, 43, 1.00/unit
heavy cream, 43, 2.50/unit
potatoes, 43, 0.40/unit
unsalted butter, 42, 0.75/unit
lemon, 41, 0.50/unit
paprika, 41, 0.70/unit
cumin, 38, 1.00/unit
fresh parsley, 38, 0.85/unit
chicken, 37, 3.00/unit
bacon, 37, 2.50/unit
honey, 36, 3.50/unit
pecans, 36, 5.00/unit
carrot, 36, 0.50/unit
green pepper, 35, 1.20/unit
Worcestershire sauce, 35, 1.75/unit
buttermilk, 35, 1.00/unit
powdered sugar, 34, 0.75/unit
mayonnaise, 34, 1.50/unit
walnuts, 33, 5.00/unit
carrots, 32, 0.50/unit
cheddar cheese, 32, 1.75/unit
garlic clove, 32, 0.75/unit
chili powder, 31, 0.80/unit
oregano, 31, 0.60/unit
shortening, 29, 0.75/unit
vinegar, 29, 0.60/unit
rind of, 28, 0.15/unit
garlic powder, 27, 0.70/unit
coconut, 26, 1.50/unit
green onions, 26, 1.00/unit
zucchini, 25, 1.20/unit
chicken broth, 25, 1.00/unit
confectioners' sugar, 25, 0.75/unit
curry powder, 25, 0.75/unit
clove, 24, 1.00/unit
fresh lemon juice, 24, 0.50/unit
lime juice, 24, 0.50/unit
cayenne pepper, 23, 0.75/unit
beef, 23, 3.50/unit
tomato sauce, 22, 0.75/unit
green onion, 21, 1.00/unit
allspice, 21, 1.50/unit
tomato paste, 21, 0.90/unit
mozzarella cheese, 20, 2.00/unit
rice, 20, 0.80/unit
white pepper, 19, 0.90/unit
cornmeal, 19, 0.70/unit
light brown sugar, 19, 0.55/unit
whole wheat flour, 19, 0.40/unit
evaporated milk, 19, 1.00/unit
apples, 19, 1.00/unit
lemons, 18, 0.50/unit
skim milk, 18, 0.80/unit
